	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
ɬ	-	-	+	-	+	-	-	+	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ɬ̀	-	-	+	-	+	-	-	+	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
ɬʷ	-	-	+	-	+	-	-	+	-	-	-	.	n	-	-	+	+	-	+	+	.	-	-
ɬʼ	-	-	+	-	+	-	+	+	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
ɬʼ	-	-	+	-	+	-	+	+	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
ɬʼ	-	-	+	-	+	-	+	+	-	-	-	+	n	-	-	+	+	-	-	-	.	-	-
ɭ	-	+	+	+	-	+	-	+	-	-	-	.	n	-	-	-	+	-	-	-	-	-	-
ɮ	-	-	+	-	+	+	-	+	-	-	-	.	n	-	-	+	+	-	-	-	.	-	-
ʎ	-	+	+	+	+	+	-	n	-	-	-	.	n	+	-	-	-	-	-	-	-	-	-
ʎ̥	-	-	+	+	+	-	-	n	-	-	-	.	n	+	-	-	-	-	-	-	-	-	-
m	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
m̂	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
m̏	-	-	+	+	-	+	-	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
m̤	-	-	+	+	-	+	-	n	+	-	+	.	n	-	-	+	-	-	-	+	+	-	-
m̥	-	-	+	+	-	-	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
m̩	+	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
m<	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
mː	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	+	-
mː	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	+	-
mb̥	-	-	+	-	-	-	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
mˠ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	+	-	+	-	+	+	-	-
mʰ	-	-	+	+	-	+	-	n	+	-	+	+	n	-	-	+	-	-	-	+	+	-	-
m̥ʰ	-	-	+	+	-	-	-	n	+	-	+	+	n	-	-	+	-	-	-	+	+	-	-
mʲ	-	-	+	+	-	+	-	n	+	-	-	-	n	+	-	+	-	-	-	+	+	-	-
mˡ	-	-	+	+	-	+	-	+	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
mnl	-	-	+	+	-	+	-	+	+	-	-	-	n	.	.	+	.	.	-	.	.	-	-
m͡ŋ	-	-	+	+	-	+	-	n	+	-	-	-	n	.	-	.	-	.	-	.	.	-	-
mʷ	-	-	+	+	-	+	-	n	+	-	-	-	n	-	-	+	-	-	+	+	+	-	-
mʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
mʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
mʼ	-	-	+	+	-	+	+	n	+	-	-	+	n	-	-	+	-	-	-	+	+	-	-
mˤ	-	-	+	+	-	+	-	n	+	-	-	-	n	-	+	+	-	+	-	+	+	-	-
mǀG	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	+	-	-
mǁG	-	-	+	-	-	+	-	+	+	-	-	n	n	+	-	+	+	+	-	-	.	-	-
mǂG	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	-	+	+	-	-	+	-	-
mǃG	-	-	+	-	-	-	-	-	+	-	-	n	n	+	-	+	+	+	-	-	-	-	-
mʘG	-	-	+	-	-	-	-	n	+	-	-	n	n	+	-	+	-	+	-	+	+	-	-
mβ	-	-	+	.	+	+	-	n	+	-	-	-	n	-	-	+	-	-	-	+	+	-	-
ɱ̥f	-	-	+	-	+	-	-	n	.	+	-	.	n	-	-	+	-	-	-	+	-	-	-
n	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
n̂	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
n̏	-	-	+	+	-	+	-	-	+	-	-	+	n	-	-	+	+	-	-	-	-	-	-
n̞	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
n̟	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
n̤	-	-	+	+	-	+	-	-	+	-	+	.	n	-	-	+	+	-	-	-	-	-	-
n̥	-	-	+	+	-	-	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
N̩	+	-	+	+	-	+	-	.	+	-	-	-	n	.	.	.	.	.	-	-	.	-	-
n̩	+	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	-	-	-
n̪	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	+	-	-
n̻	-	-	+	+	-	+	-	-	+	-	-	-	n	-	-	+	+	-	-	-	+	-	-
