	vocalic 	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
i̞	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
i̞	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-
i̞	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-
i̞	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-
i̞	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-
i̟	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
i̤	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
i̤	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
i̥	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-
i̥	-	-	-	-	-	-	-	+	-	-	+	-	-	-	-
ḭ	+	-	-	+	+	-	-	+	-	-	+	-	-	-	-
i̺	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
iː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
iː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
ĩː	+	-	-	+	-	+	-	+	-	-	+	-	-	+	-
i̝ː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
i̤ː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
ḭː	+	-	-	+	+	-	-	+	-	-	+	-	-	+	-
iːː	+	-	-	+	-	-	-	+	-	-	+	-	-	+	+
ia	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
ie	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
i̤e̤	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
i̯e	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
iə	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
iɛ	+	-	-	+	-	-	-	-	-	-	+	-	-	+	-
ij	+	-	-	+	-	-	-	+	-	-	+	-	-	+	-
i̯o	+	-	-	+	-	-	-	+	-	-	+	.	.	+	-
iʔ	+	-	-	+	+	-	-	+	-	-	+	-	-	-	-
ĩʔ	+	-	-	+	+	+	-	+	-	-	+	-	-	-	-
iʔi	+	-	-	+	+	-	-	+	-	-	+	-	-	-	-
ĩʔĩ	+	-	-	+	+	+	-	+	-	-	+	-	-	-	-
iˤ	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-
ɪ	+	-	-	+	-	-	-	-	-	-	+	-	-	-	-
ɪ̃	+	-	-	+	-	+	-	-	-	-	+	-	-	-	-
ɪ̘	+	-	-	+	-	-	-	+	-	-	+	-	-	-	-
ɪ̥	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-
ɪ̥	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-
ɪː	+	-	-	+	-	-	-	-	-	-	+	-	-	+	-
ɪː	+	-	-	+	-	-	-	-	-	-	+	-	-	+	-
ɪ̃ː	+	-	-	+	-	+	-	-	-	-	+	-	-	+	-
ɪɛ	+	-	-	+	-	-	-	-	-	-	+	-	-	+	-
ɨ	+	-	-	+	-	-	-	+	-	-	+	+	-	-	-
ɨ̃	+	-	-	+	-	+	-	+	-	-	+	+	-	-	-
ɨ̃	+	-	-	+	-	+	-	+	-	-	+	+	-	-	-
ɨ̞	+	-	-	+	-	-	-	-	-	-	+	+	-	-	-
ɨ˞	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
